block_number,date,days_ago,total_supply,total_borrow,available_liquidity
24770200,2025-01-08,84,29585529.756028,24859479.977139,4726049.778889
25072600,2025-01-15,77,35496610.107714,25261145.943582,10235464.164132
25375000,2025-01-22,70,66349410.770241,52622959.274797,13726451.495444
25677400,2025-01-29,63,78417440.728288,60978616.28692,17438824.441368
25979800,2025-02-05,56,79593178.805338,64293630.580202,15299548.225136
26282200,2025-02-12,49,93063810.05704,71038304.828315,22025505.228725
26584600,2025-02-19,42,115326142.225533,104696947.340255,10629194.885278
26887000,2025-02-26,35,135624612.802681,116326709.035485,19297903.767196
27189400,2025-03-05,28,134306749.328351,120237892.406237,14068856.922114
27491800,2025-03-12,21,156390746.846689,124880000.032278,31510746.814411
27794200,2025-03-19,14,155546810.147467,126593584.408194,28953225.739273
28096600,2025-03-26,7,152463186.189745,133673208.730795,18789977.45895
28399000,2025-04-02,0,129469607.49099,117085063.244806,12384544.246184
